track_artist,released_year,danceability,energy,valence,tempo,number_of_songs
Aitana,2019,69.2,69.0,72.2,128.5,2
Aitch,2019,79.7,55.9,73.1,96.8,3
Aitor Blond,2019,59.2,81.1,10.0,128.1,1
Aivarask,2018,65.5,54.5,64.8,128.1,1
Aivarask,2019,81.8,76.0,36.5,125.1,1
Aiwass,2019,53.4,59.6,29.3,176.0,1
Aiyo,2019,84.4,58.0,46.0,118.0,1
Akane,2019,74.3,78.2,60.5,99.9,1
Akane Hatanaka,2019,61.7,62.4,76.1,104.0,1
Akapellah,2016,90.7,45.5,22.3,128.0,1
Akcent,2006,76.1,81.7,75.9,125.0,1
Akim,2019,81.0,83.1,69.5,95.0,1
Akira Terao,1981,38.1,61.7,58.2,86.5,1
Akon,1905,81.0,40.0,59.2,138.0,2
Akon,2006,82.8,58.0,40.7,90.0,1
Akon,2008,83.2,87.0,56.6,138.0,1
Akon,2010,56.5,86.7,32.5,125.9,1
Akon,2013,59.9,59.1,46.4,131.0,5
Akon,2019,76.3,83.0,87.0,90.0,1
Akwid,2005,59.7,59.4,37.0,180.1,1
Akwid,2007,64.4,74.6,60.1,144.1,3
Akwid,2010,74.5,73.0,54.2,131.9,3
Akwid,2013,76.6,86.9,61.1,94.1,1
Akwid,2015,74.6,80.6,96.3,168.0,1
Akwid,2019,67.3,73.5,62.8,102.9,1
Al Stewart,1905,69.4,64.9,60.3,112.0,1
Alabama Shakes,2015,54.7,43.0,17.5,114.7,1
Alaina Castillo,2019,51.5,67.5,34.6,89.9,1
Alamid,1994,48.7,67.0,74.0,141.2,1
Alamid,2012,35.3,35.7,23.5,76.6,1
Alan Silvestri,2013,69.4,44.3,64.2,120.0,1
Alan Walker,2015,58.9,65.1,16.6,90.0,1
Alan Walker,2016,53.7,82.1,13.7,125.6,5
Alan Walker,2017,62.7,79.1,36.9,122.3,9
Alan Walker,2018,55.0,65.8,33.6,118.6,5
Alan Walker,2019,58.7,69.0,39.4,123.9,4
Alan Zachary,2020,83.0,34.9,32.7,129.0,1
Alanis Morissette,1905,40.8,58.2,36.5,114.9,1
Alanis Morissette,2005,46.0,54.1,45.2,160.1,1
Alba Reche,2019,55.3,20.9,24.8,119.6,1
Alban Chela,2020,70.0,70.2,12.9,104.0,1
Albert Hammond,1972,62.6,56.5,92.4,116.6,1
Albert King,2017,67.1,75.8,86.8,102.2,1
Alberto Ciccarini,2019,77.5,69.9,44.0,104.9,1
Alberto Dimeo,2017,81.1,96.1,27.3,123.0,1
Alberto Urso,2019,41.4,55.8,18.5,116.4,1
Albin Myers,2015,63.5,69.3,48.0,120.0,1
Albin Myers,2019,84.5,88.1,41.5,128.2,1
Alborn,2019,34.7,93.0,37.5,162.1,1
Aldair Silva,2015,79.7,91.1,96.0,126.0,1
Aldo Nova,1905,51.5,87.8,37.1,131.3,1
Aldous Harding,2019,73.2,40.8,66.3,87.0,1
Ale Aguirre,2019,37.6,35.4,22.7,74.9,1
Ale Mendoza,2013,81.8,78.5,57.1,130.0,1
Alec Benjamin,2018,67.7,54.6,63.2,152.4,3
Alec Benjamin,2019,70.2,64.4,69.2,122.6,2
Alec Benjamin,2020,70.8,48.9,77.1,142.9,1
Alejandra Guzman,1905,70.8,86.1,77.4,118.1,2
Alejandra Guzman,1991,46.3,32.5,38.6,135.7,1
Alejandro Fernandez,2003,64.7,45.1,48.0,147.8,1
Alejandro Fernandez,2011,53.6,45.7,49.9,165.7,1
Alejandro Fernandez,2017,69.2,85.5,77.7,95.0,1
Alejandro Gonzalez,2019,67.4,89.4,75.0,87.0,2
Alejandro Sanz,1995,39.9,53.0,35.1,76.8,1
Alejandro Sanz,1997,64.8,84.6,81.5,160.1,1
Alejandro Sanz,2004,45.5,61.8,31.0,111.4,2
Alejandro Sanz,2019,66.8,70.6,71.8,142.0,2
Alejo Park,2018,79.0,54.3,76.8,140.1,1
Aleks Syntek,2002,71.0,89.1,65.5,114.0,1
Aleks Syntek,2009,66.7,84.3,94.0,171.8,1
Aleman,2015,85.4,43.8,17.8,140.0,1
Aleman,2017,72.6,75.2,72.8,82.2,2
Aleman,2019,91.8,34.4,50.9,134.7,3
Alenn,2019,69.3,83.0,26.7,124.0,1
Alessandra Amoroso,2018,59.2,76.4,15.3,82.1,1
Alessi Brothers,1998,59.7,28.9,34.1,135.2,1
Alessia Cara,2015,56.2,72.1,52.3,113.8,2
Alessia Cara,2016,58.7,74.0,36.8,124.5,4
Alessia Cara,2018,60.9,57.4,47.6,119.8,2
Alessia Cara,2019,52.9,49.6,58.8,74.6,1
Alesso,2012,46.7,65.4,33.3,127.0,2
Alesso,2014,64.6,68.5,28.0,131.0,2
Alesso,2015,55.0,78.4,41.4,126.6,6
Alesso,2016,71.0,72.9,53.2,125.0,1
Alesso,2017,70.9,72.0,67.5,116.0,1
Alesso,2018,60.1,77.5,48.3,120.0,1
Alesso,2019,69.8,83.5,51.2,119.2,4
Alex Adair,2015,61.8,82.8,25.6,123.9,2
Alex Cuba,2019,83.6,35.0,75.0,147.9,1
Alex Da Kid,2017,55.1,52.8,16.5,74.4,1
Alex Eugenio,2018,79.6,37.1,78.0,129.9,1
