track_artist,released_year,averagePopularity,averagePopularity
Alex Jacke,2014,0.0,0.0
Alex Kenji,2012,33.0,33.0
Alex Kennon,2017,2.0,2.0
Alex Larke,2017,29.0,29.0
Alex Martura,2018,47.0,47.0
Alex Martura,2019,53.0,53.0
Alex Mattson,2019,44.0,44.0
Alex McArtor,2019,37.5,37.5
Alex Parker,2018,47.0,47.0
Alex Parker,2019,48.0,48.0
Alex Rose,2017,32.5,32.5
Alex Rose,2018,47.0,47.0
Alex Rose,2019,55.285714285714285,55.3
Alex Schulz,2019,54.0,54.0
Alex Sensation,2017,70.0,70.0
Alex Sensation,2019,65.0,65.0
Alex Soto,2019,36.0,36.0
Alex Turner,2011,63.0,63.0
Alex Ubago,2019,54.0,54.0
Alex Vargas,2015,27.0,27.0
Alex Zind,2019,52.0,52.0
Alex Zurdo,2014,47.5,47.5
Alex Zurdo,2016,53.0,53.0
Alex Zurdo,2017,49.0,49.0
Alex Zurdo,2018,53.0,53.0
AlexEps,2020,23.0,23.0
Alexander Lewis,2017,0.0,0.0
Alexander Lewis,2018,39.0,39.0
Alexander Lewis,2019,52.0,52.0
Alexander Popov,2019,27.0,27.0
Alexey Shelygin,2003,0.0,0.0
Alexio,2015,61.0,61.0
Alexis Chaires,2019,39.0,39.0
Alexis y Fido,1905,0.0,0.0
Alexis y Fido,2005,49.0,49.0
Alexis y Fido,2007,62.5,62.5
Alexis y Fido,2009,46.666666666666664,46.7
Alexis y Fido,2011,58.0,58.0
Alexis y Fido,2014,32.0,32.0
Alexis y Fido,2018,61.0,61.0
Alexx Mack,2017,17.0,17.0
Alfa Mist,2015,0.0,0.0
Alfie Connor,2015,30.0,30.0
Alfons,2019,41.333333333333336,41.3
Alfonzo Hunter,1996,37.0,37.0
Alfred Beck,2019,41.0,41.0
Algebra Blessett,2008,0.0,0.0
AlgoRythmik,2011,43.0,43.0
Ali Aka Mind,2014,42.0,42.0
Ali B,2019,52.0,52.0
Ali Bumaye,2016,36.0,36.0
Ali Gatie,2019,89.0,89.0
Ali Masare,2019,39.0,39.0
Ali Payami,2009,0.0,0.0
Alias,1990,51.0,51.0
Alice Cooper,1905,40.25,40.2
Alice Cooper,1976,38.0,38.0
Alice Cooper,1986,48.0,48.0
Alice Cooper,1989,70.0,70.0
Alice Cooper,2019,13.0,13.0
Alice DJ,1905,47.0,47.0
Alice Deejay,1905,3.0,3.0
Alice Francis,2014,40.0,40.0
Alice In Chains,1990,71.0,71.0
Alice Jemima,2017,31.0,31.0
Alice Russell,2008,8.0,8.0
Alice Smith,1905,21.0,21.0
Alice Smith,2013,0.0,0.0
Alicia Keys,2001,21.0,21.0
Alicia Keys,2003,69.5,69.5
Alicia Keys,2007,68.0,68.0
Alicia Keys,2012,65.0,65.0
Alicia Keys,2016,40.0,40.0
Alicia Keys,2019,67.0,67.0
Alicia Keys,2020,73.0,73.0
Alicia Madison,2018,41.0,41.0
Alien Ant Farm,2001,72.0,72.0
Alien Ant Farm,2003,0.0,0.0
Alien Family,2016,0.0,0.0
Alina Amuri,2018,8.0,8.0
Alina Baraz,2015,46.0,46.0
Alina Baraz,2017,64.0,64.0
Alina Baraz,2019,64.0,64.0
Alisha,2007,32.0,32.0
Alison Crockett,2010,36.0,36.0
Alison Darwin,2019,23.0,23.0
Alison Krauss,1905,0.0,0.0
Alison Wonderland,2015,52.5,52.5
Alison Wonderland,2019,57.0,57.0
Alive City,2019,54.0,54.0
Alizzmatic,2018,19.333333333333332,19.3
Alkaline,2015,0.0,0.0
Alkilados,2014,0.0,0.0
Alkilados,2015,4.0,4.0
Alkilados,2019,56.0,56.0
All Fires,2019,38.0,38.0
All Good Things,2013,38.0,38.0
All Harlem Music,2019,41.0,41.0
All Star Brasil,2019,37.0,37.0
All That Remains,2012,0.0,0.0
All Them Witches,2012,46.0,46.0
All Time Low,2008,8.222222222222221,8.2
All Time Low,2009,0.0,0.0
All Time Low,2011,0.0,0.0
Alle Farben,2019,57.5,57.5
Allegra,2019,40.0,40.0
Allen Stone,2012,0.0,0.0
Allie X,2019,59.0,59.0
Allstar Weekend,2011,45.0,45.0
Ally Brooke,2019,64.0,64.0
Alma Madre,2019,1.0,1.0
Alma Negra,2019,10.0,10.0
Almanij,2019,22.0,22.0
Almero,2020,24.0,24.0
Almighty,2017,40.0,40.0
Almighty,2019,65.0,65.0
Aloe Blacc,2010,65.0,65.0
Aloe Blacc,2013,60.0,60.0
Aloe Blacc,2014,36.0,36.0
Alok,1905,75.0,75.0
Alok,2018,57.0,57.0
Alok,2019,64.14285714285714,64.1
Alpharock,2015,0.0,0.0
Alphaville,1905,61.0,61.0
Alphaville,1984,59.0,59.0
Alphaville,1991,57.0,57.0
Alrahim Wright III,2019,3.0,3.0
Alsogood,2019,21.0,21.0
Altafulla,2014,0.0,0.0
Altamira,2019,54.0,54.0
Alter Bridge,2019,24.5,24.5
Altoparlante,2017,42.0,42.0
AlunaGeorge,2014,51.0,51.0
AlunaGeorge,2015,60.0,60.0
AlunaGeorge,2016,57.0,57.0
Alvaro,2015,0.0,0.0
Alvaro,2017,47.0,47.0
Alvaro Rod,2019,55.0,55.0
Alvaro Soler,2015,0.0,0.0
Alvaro Soler,2016,66.0,66.0
Alveole,2019,17.0,17.0
Alvin Marquis,2019,21.0,21.0
Alvita,2015,0.0,0.0
Alvvays,2014,62.0,62.0
Alx Veliz,2015,16.0,16.0
Alyssa Reid,2011,36.0,36.0
AmPm,2019,45.0,45.0
AmaLee,2015,13.0,13.0
Amanaz,2017,37.0,37.0
Amandla Stenberg,2017,43.0,43.0
Amarok,2017,0.0,0.0
Amber,1996,52.0,52.0
Amber Run,2015,62.0,62.0
Amber Ryann,2020,29.0,29.0
Ambrosia,1905,58.0,58.0
Ambrosia,1980,63.0,63.0
Ameba,2019,49.5,49.5
Amel Larrieux,1905,13.0,13.0
Amel Larrieux,2000,34.0,34.0
Amel Larrieux,2004,48.0,48.0
Amelie Lens,2017,52.0,52.0
Amenazzy,2017,68.0,68.0
Amenazzy,2018,73.0,73.0
Amenazzy,2019,64.75,64.8
America,1905,66.66666666666667,66.7
America,1972,69.0,69.0
American Authors,2014,65.5,65.5
American Sin,2019,36.5,36.5
Amerie,1905,59.0,59.0
Amerie,2002,39.0,39.0
Amigos Raros,2018,43.0,43.0
AmirSaysNothing,2020,38.0,38.0
Amorf,2019,15.666666666666666,15.7
Amos Lee,2005,53.0,53.0
Amos Lee,2016,36.0,36.0
Amparanoia,2019,40.0,40.0
Amplify Worship,2018,33.0,33.0
Amr Diab,2019,47.0,47.0
Amrit Maan,2017,24.0,24.0
Amrit Maan,2018,53.0,53.0
Amrit Maan,2019,50.0,50.0
Amtrac,2019,46.0,46.0
Amtrac,2020,58.0,58.0
